no_paths,no_points,width,height,drawing
17,1597,219,266,guitar
5,478,169,164,pencil
2,312,166,159,clock
7,1321,244,118,car
4,554,158,83,fish
11,808,175,256,house
13,996,210,156,tree
6,593,97,68,bicycle
4,739,89,195,guitar
2,245,18,84,pencil
3,235,144,163,clock
15,622,314,129,car
7,471,318,113,fish
31,1006,244,118,house
3,378,284,199,tree
45,1771,243,131,bicycle
11,1181,265,281,guitar
5,327,111,153,pencil
23,810,188,195,clock
25,1936,349,184,car
6,442,286,210,fish
16,682,358,188,house
10,272,221,232,tree
42,1787,137,145,bicycle
26,1569,194,217,guitar
21,1031,131,223,pencil
37,936,234,249,clock
18,734,291,100,car
4,534,338,166,fish
20,915,186,254,house
4,305,272,197,tree
31,776,149,104,bicycle
7,536,344,128,guitar
5,154,159,197,pencil
6,460,318,293,clock
1,596,317,122,car
1,386,126,182,fish
3,300,119,189,house
2,417,163,250,tree
11,903,116,76,bicycle
2,580,219,102,guitar
1,282,30,160,pencil
13,168,124,117,clock
8,1352,297,54,car
21,3244,243,83,fish
15,1356,228,104,house
9,1353,184,238,tree
14,1726,127,108,bicycle
7,1285,113,172,guitar
6,499,17,188,pencil
23,1322,148,149,clock
9,801,345,98,car
7,465,303,152,fish
12,506,129,111,house
15,442,341,242,tree
16,573,122,118,bicycle
20,1028,188,213,guitar
4,336,211,189,pencil
16,340,178,176,clock
5,423,269,69,car
11,279,263,94,fish
28,437,141,148,house
7,630,170,218,tree
26,829,210,126,bicycle
16,460,257,149,guitar
10,198,257,119,pencil
8,258,129,184,clock
6,442,253,95,car
5,253,283,83,fish
17,394,247,131,house
4,566,54,148,tree
22,444,134,62,bicycle
6,612,198,198,guitar
9,312,129,158,pencil
16,466,252,232,clock
10,444,256,151,car
6,452,263,122,fish
15,492,223,153,house
3,366,270,209,tree
12,269,92,99,bicycle
12,684,179,147,guitar
9,355,238,233,pencil
21,655,230,192,clock
11,723,342,161,car
9,345,168,127,fish
10,187,158,109,house
4,272,68,222,tree
14,512,89,59,bicycle
13,809,180,348,guitar
11,340,41,231,pencil
17,757,207,179,clock
6,385,327,143,car
5,327,259,105,fish
11,307,171,144,house
1,308,209,250,tree
6,158,131,87,bicycle
4,264,251,173,guitar
6,213,225,155,pencil
7,220,197,165,clock
11,906,392,155,car
13,295,130,69,fish
26,811,281,280,house
12,1100,319,220,tree
26,1175,203,130,bicycle
14,580,206,107,guitar
5,297,142,24,pencil
24,674,230,204,clock
10,2209,172,76,car
5,1450,237,113,fish
9,1241,167,133,house
4,1306,273,203,tree
11,1821,165,57,bicycle
5,1439,236,255,guitar
6,825,112,182,pencil
23,2897,171,178,clock
5,664,377,237,car
6,430,238,112,fish
6,449,239,288,house
3,372,243,271,tree
16,719,232,112,bicycle
16,1250,98,241,guitar
6,404,195,214,pencil
15,371,261,261,clock
7,1336,319,106,car
6,916,195,140,fish
21,1156,184,123,house
10,999,251,203,tree
12,1234,167,104,bicycle
16,1146,143,153,guitar
11,871,91,158,pencil
8,622,234,206,clock
6,520,290,87,car
2,238,195,110,fish
4,306,169,110,house
2,417,224,254,tree
10,409,91,71,bicycle
14,813,189,157,guitar
4,293,203,140,pencil
9,390,222,162,clock
17,291,108,56,car
19,496,165,86,fish
29,258,296,83,house
18,447,218,168,tree
47,547,120,127,bicycle
13,175,258,157,guitar
13,85,147,142,pencil
53,339,51,44,clock
3,272,228,94,car
3,83,201,186,fish
13,170,226,154,house
8,161,72,159,tree
9,127,99,88,bicycle
8,256,210,118,guitar
6,135,230,61,pencil
14,106,220,161,clock
5,201,333,63,car
9,148,199,49,fish
10,156,202,93,house
9,213,189,171,tree
11,189,104,60,bicycle
19,534,224,132,guitar
11,122,190,116,pencil
7,54,63,66,clock
6,514,219,73,car
6,368,187,78,fish
5,344,186,133,house
3,158,240,203,tree
16,328,71,68,bicycle
8,534,240,159,guitar
9,360,125,145,pencil
10,297,250,246,clock
8,348,198,62,car
9,530,285,91,fish
13,606,298,143,house
12,665,390,213,tree
19,1082,213,74,bicycle
15,976,315,140,guitar
8,327,80,231,pencil
23,832,184,151,clock
12,469,215,116,car
4,281,187,51,fish
20,762,252,84,house
4,291,171,173,tree
23,821,108,74,bicycle
12,501,285,112,guitar
9,352,93,121,pencil
3,132,192,170,clock
11,805,245,155,car
7,414,214,104,fish
8,778,273,157,house
12,711,191,184,tree
8,719,180,84,bicycle
6,758,212,194,guitar
7,416,171,63,pencil
27,1179,335,305,clock
6,482,272,136,car
7,211,207,95,fish
21,501,281,116,house
4,171,222,197,tree
22,439,190,114,bicycle
11,541,184,148,guitar
7,144,179,203,pencil
14,128,224,221,clock
7,370,171,114,car
5,505,270,114,fish
20,438,200,153,house
8,249,256,203,tree
8,310,126,92,bicycle
12,790,279,246,guitar
10,488,49,263,pencil
7,221,248,274,clock
30,2110,90,61,car
27,1247,95,67,fish
30,1412,94,118,house
17,1249,135,286,tree
21,2067,92,66,bicycle
29,1400,203,160,guitar
60,2165,96,233,pencil
23,4076,376,393,clock
8,425,98,49,car
5,307,150,34,fish
19,1095,98,100,house
10,647,219,131,tree
26,1215,134,98,bicycle
19,776,83,111,guitar
4,279,85,101,pencil
9,274,46,89,clock
11,776,243,74,car
15,828,243,114,fish
19,978,158,116,house
2,964,317,215,tree
25,874,91,78,bicycle
14,676,118,228,guitar
8,572,233,232,pencil
20,869,218,200,clock
6,450,259,103,car
2,286,171,142,fish
11,612,142,214,house
3,289,212,244,tree
9,479,222,98,bicycle
15,497,108,216,guitar
7,144,50,227,pencil
9,365,131,168,clock
8,995,286,106,car
4,439,199,88,fish
1,459,129,255,house
1,580,231,263,tree
11,503,161,108,bicycle
11,1097,166,226,guitar
13,730,40,235,pencil
17,513,266,242,clock
12,2071,365,133,car
19,1033,289,89,fish
45,2029,146,111,house
7,1544,299,240,tree
30,1846,158,59,bicycle
42,2001,109,243,guitar
7,248,227,215,pencil
22,792,184,82,clock
31,1292,282,89,car
3,705,238,84,fish
35,1588,164,158,house
142,4246,188,197,tree
32,1216,71,57,bicycle
26,2546,147,243,guitar
4,508,36,260,pencil
35,1303,199,252,clock
11,499,251,88,car
3,215,153,64,fish
5,262,146,134,house
3,387,188,136,tree
21,395,68,53,bicycle
9,680,220,89,guitar
7,138,26,105,pencil
15,159,102,68,clock
3,441,171,58,car
2,546,227,210,fish
3,318,156,138,house
5,746,369,277,tree
6,150,105,62,bicycle
3,506,316,197,guitar
4,110,220,123,pencil
9,306,148,128,clock
8,592,176,82,car
11,488,82,48,fish
13,545,143,137,house
15,597,198,171,tree
13,510,56,64,bicycle
5,718,204,255,guitar
7,410,48,113,pencil
10,508,147,161,clock
7,293,363,189,car
3,347,297,146,fish
10,196,271,140,house
7,328,285,334,tree
6,186,224,162,bicycle
5,444,308,341,guitar
7,210,246,291,pencil
3,90,282,228,clock
18,712,131,101,car
10,547,161,165,fish
12,404,208,99,house
12,693,177,172,tree
10,524,106,109,bicycle
7,631,175,162,guitar
6,286,113,152,pencil
2,226,191,185,clock
26,1053,351,129,car
79,1420,193,161,house
25,1592,305,208,tree
37,1844,232,108,bicycle
24,1181,307,272,guitar
18,413,238,255,pencil
21,463,148,310,clock
7,1177,205,115,car
4,939,303,289,fish
15,1264,188,195,house
7,1642,304,307,tree
9,1211,153,153,bicycle
9,1156,269,175,guitar
7,672,169,225,pencil
5,556,219,239,clock
22,562,244,96,car
2,391,232,151,fish
7,558,200,183,house
13,740,285,361,tree
18,443,174,175,bicycle
13,516,204,192,guitar
1,49,24,220,pencil
3,384,62,163,clock
13,725,169,75,car
9,494,203,55,fish
30,1568,164,210,house
18,905,245,231,tree
28,1759,143,120,bicycle
24,1473,193,209,guitar
16,778,160,138,pencil
26,1361,239,183,clock
45,2487,272,79,car
14,937,276,134,fish
27,1270,385,150,house
43,835,111,197,tree
25,1135,120,107,bicycle
19,1260,295,116,guitar
13,630,242,208,clock
7,1435,302,104,car
6,742,220,122,fish
22,1262,291,112,house
1,469,169,215,tree
18,1068,75,69,bicycle
18,1120,149,144,guitar
7,384,130,132,pencil
15,353,170,108,clock
20,1471,131,36,car
23,1197,117,64,fish
36,2169,175,106,house
26,1424,154,123,tree
24,1928,85,91,bicycle
19,1109,76,145,guitar
9,830,134,136,clock
22,1057,82,42,car
74,3140,143,158,fish
151,3153,176,173,house
193,1893,211,164,tree
23,970,173,330,guitar
10,286,95,114,pencil
33,5556,173,201,clock
15,894,264,153,car
17,334,233,115,fish
9,482,277,163,house
6,256,185,205,tree
9,321,163,127,bicycle
9,476,223,222,guitar
4,230,184,172,pencil
17,408,239,284,clock
4,665,217,89,car
4,242,234,100,fish
10,499,233,141,house
4,204,217,213,tree
8,221,121,125,bicycle
10,510,150,179,guitar
4,104,169,190,pencil
3,169,65,61,clock
6,399,317,174,car
3,208,261,115,fish
6,642,284,301,house
3,299,224,213,tree
14,470,209,96,bicycle
4,460,309,319,guitar
3,350,242,251,pencil
2,123,209,205,clock
8,759,256,62,car
10,260,249,70,fish
16,677,152,149,house
3,189,321,212,tree
24,863,141,97,bicycle
13,955,228,266,guitar
6,198,146,168,pencil
19,595,283,294,clock
36,2013,134,69,car
19,669,252,105,fish
18,827,167,119,house
15,716,244,228,tree
28,1196,82,91,bicycle
21,1334,149,167,guitar
18,655,36,218,pencil
27,1628,234,242,clock
6,343,264,148,car
10,159,239,114,fish
9,253,226,127,house
5,227,129,155,tree
7,200,114,103,bicycle
4,348,266,192,guitar
5,163,142,206,pencil
8,195,201,208,clock
8,467,258,143,car
4,180,239,139,fish
8,246,185,137,house
5,200,250,178,tree
11,385,118,113,bicycle
10,458,176,175,guitar
7,189,64,194,pencil
6,154,163,193,clock
7,488,269,153,car
15,938,310,309,fish
19,513,166,186,house
16,196,92,148,tree
16,647,101,87,bicycle
10,930,316,328,guitar
8,572,289,308,pencil
21,429,225,237,clock
17,673,133,100,car
18,738,63,82,fish
23,945,133,129,house
36,960,65,152,tree
23,1106,98,104,bicycle
18,1026,141,191,guitar
6,557,188,200,pencil
33,1238,193,154,clock
11,481,340,107,car
15,348,275,110,fish
19,613,191,198,house
30,717,411,154,tree
30,458,131,99,bicycle
12,661,287,148,guitar
17,375,243,128,pencil
16,185,162,147,clock
8,382,139,71,car
7,184,150,57,fish
15,363,161,107,house
1,332,256,268,tree
15,340,114,102,bicycle
11,438,331,117,guitar
7,265,172,152,clock
3,465,192,80,car
1,214,236,128,fish
3,176,187,215,house
3,166,135,119,tree
7,255,168,149,bicycle
5,179,113,235,guitar
1,135,41,157,pencil
4,79,145,163,clock
26,1092,329,98,car
3,176,124,86,fish
7,258,112,152,house
2,391,328,282,tree
6,455,188,114,bicycle
19,598,93,81,guitar
4,182,95,78,pencil
18,513,152,151,clock
6,469,318,132,car
13,477,337,128,fish
13,481,190,296,house
9,341,312,218,tree
13,514,198,122,bicycle
9,425,242,275,guitar
3,250,225,229,pencil
7,195,225,210,clock
10,1039,322,125,car
4,352,181,74,fish
11,1073,345,160,house
4,579,188,170,tree
8,590,160,103,bicycle
6,797,151,165,guitar
10,559,159,174,pencil
5,457,207,227,clock
13,860,100,62,car
7,331,119,58,fish
19,1200,144,130,house
19,971,199,183,tree
16,601,92,49,bicycle
18,1233,255,93,guitar
11,296,64,72,pencil
44,1304,197,178,clock
14,1310,128,237,car
4,716,221,111,fish
31,1377,140,81,house
7,475,207,163,tree
14,824,75,72,bicycle
16,1101,250,130,guitar
9,515,88,141,pencil
7,247,171,176,clock
10,784,300,133,car
8,441,230,99,fish
9,273,189,146,house
14,305,166,205,tree
11,331,208,125,bicycle
11,776,221,162,guitar
8,155,158,146,pencil
8,244,241,248,clock
3,669,283,124,car
13,598,281,110,fish
5,673,222,264,house
3,479,269,204,tree
13,799,148,111,bicycle
8,1147,281,265,guitar
11,798,229,176,pencil
3,354,243,193,clock
7,284,159,145,car
7,295,212,249,fish
15,272,206,163,house
5,155,142,445,tree
10,264,115,151,bicycle
9,408,286,286,guitar
4,342,252,241,pencil
6,62,273,256,clock
8,1103,276,97,car
4,388,191,105,fish
10,525,161,167,house
3,276,126,140,tree
8,526,140,94,bicycle
9,922,227,210,guitar
6,441,176,152,pencil
4,227,148,151,clock
39,2092,207,100,car
18,970,294,99,fish
23,755,300,336,house
19,1338,340,300,tree
18,1318,140,224,bicycle
31,1592,373,387,guitar
13,613,333,339,pencil
20,809,315,343,clock
8,380,256,112,car
4,229,207,114,fish
9,312,282,174,house
3,174,254,232,tree
9,299,157,93,bicycle
7,467,211,218,guitar
6,368,235,101,pencil
5,188,191,192,clock
7,734,254,86,car
8,501,243,86,fish
6,575,169,190,house
12,822,340,187,tree
6,974,73,71,bicycle
11,814,76,225,guitar
3,402,37,289,pencil
7,647,217,209,clock
11,1523,342,93,car
8,290,185,47,fish
10,449,254,156,house
33,954,283,223,tree
25,989,180,110,bicycle
12,1198,98,257,guitar
13,722,56,243,pencil
23,1012,299,352,clock
13,1165,374,169,car
5,487,168,137,fish
21,1710,300,207,house
50,1422,151,141,tree
42,2637,286,199,bicycle
13,1178,170,217,guitar
8,588,174,174,pencil
29,1414,240,213,clock
14,597,188,96,car
4,254,315,91,fish
16,699,204,208,house
5,323,250,249,tree
9,430,149,160,bicycle
12,675,140,269,guitar
1,145,33,314,pencil
3,191,265,269,clock
23,536,197,98,car
11,191,145,146,fish
11,545,286,193,house
3,360,222,190,tree
35,403,106,61,bicycle
18,978,132,259,guitar
2,177,47,179,pencil
16,439,204,230,clock
4,424,352,184,car
12,454,309,96,fish
12,445,261,129,house
11,441,156,152,tree
9,326,152,79,bicycle
14,666,170,230,guitar
8,213,150,136,pencil
2,129,146,125,clock
23,1038,349,107,car
19,686,278,133,fish
16,793,385,118,house
12,451,338,77,tree
19,736,296,120,bicycle
25,1458,133,240,guitar
12,556,251,262,pencil
8,922,282,257,clock
1,626,212,136,car
5,684,272,130,fish
7,728,151,198,house
2,391,205,170,tree
6,450,159,95,bicycle
3,706,272,201,guitar
1,346,192,253,pencil
7,328,201,226,clock
6,637,242,75,car
8,492,152,108,fish
27,820,239,191,house
4,453,120,162,tree
8,513,224,100,bicycle
8,902,236,240,guitar
6,268,259,40,pencil
6,324,173,192,clock
6,667,271,176,car
6,444,210,110,fish
10,1002,104,115,house
2,610,209,299,tree
4,559,104,131,bicycle
9,937,276,268,guitar
9,424,49,195,pencil
4,252,254,236,clock
9,654,313,123,car
7,294,242,122,fish
6,712,316,144,house
3,184,232,192,tree
3,383,224,163,bicycle
16,638,201,206,guitar
8,218,169,179,pencil
22,506,249,273,clock
12,1953,256,94,car
16,1453,294,156,fish
11,1210,227,127,house
14,1836,309,237,tree
28,2999,137,115,bicycle
27,2248,385,150,guitar
5,1002,231,213,pencil
30,1347,150,153,clock
7,658,254,120,car
11,387,159,60,fish
12,538,228,131,house
13,332,161,212,tree
9,407,119,56,bicycle
17,587,82,114,guitar
5,184,126,129,clock
12,616,305,167,car
19,666,288,108,fish
18,542,159,132,house
22,495,263,253,tree
37,899,149,149,bicycle
19,911,241,213,guitar
16,401,191,183,pencil
22,633,190,215,clock
4,592,280,149,car
3,533,277,193,fish
7,688,147,148,house
6,279,209,179,tree
7,518,182,190,bicycle
9,702,180,241,guitar
2,242,194,214,pencil
2,180,176,185,clock
7,902,128,121,car
9,786,126,114,house
4,523,256,196,tree
10,1248,98,122,bicycle
9,1699,179,187,guitar
9,630,48,139,pencil
17,671,182,188,clock
10,608,226,112,car
14,805,264,131,fish
17,782,220,213,house
17,682,266,192,tree
12,388,105,92,bicycle
7,376,173,192,guitar
4,149,233,274,pencil
16,277,260,262,clock
3,203,348,116,car
2,131,184,152,fish
2,74,250,228,house
3,94,260,232,tree
7,151,204,116,bicycle
5,207,284,272,guitar
1,64,108,152,pencil
4,76,200,144,clock
8,501,233,126,car
6,552,326,140,fish
6,363,260,187,house
5,428,306,198,tree
11,447,133,65,bicycle
6,399,174,211,guitar
2,121,126,198,pencil
3,152,187,183,clock
23,1211,120,61,car
12,454,185,110,fish
33,1491,150,111,house
216,2618,152,183,tree
23,1223,151,85,bicycle
15,985,190,111,guitar
9,464,192,211,pencil
9,524,183,171,clock
16,825,338,100,car
18,678,237,113,fish
9,430,210,228,house
2,195,273,345,tree
24,580,307,103,bicycle
21,872,158,86,guitar
6,270,85,202,pencil
18,557,246,201,clock
11,268,194,138,car
5,273,160,129,fish
19,371,223,166,house
3,171,239,237,tree
20,283,92,96,bicycle
7,117,108,86,guitar
5,152,191,132,pencil
15,282,172,223,clock
26,3572,135,72,car
58,1524,234,50,fish
10,871,250,193,house
21,821,107,176,tree
28,1390,184,106,bicycle
8,1026,175,216,guitar
7,628,24,278,pencil
10,705,222,225,clock
19,3430,271,85,car
4,495,165,66,fish
18,2564,164,157,house
20,4108,165,337,tree
23,1730,165,91,bicycle
7,1015,158,269,guitar
5,1371,198,193,pencil
15,618,209,184,clock
25,2078,295,116,car
16,1262,316,52,fish
65,3048,176,201,house
55,2242,349,220,tree
44,1953,126,83,bicycle
37,1737,170,143,guitar
13,668,100,144,pencil
23,1247,195,192,clock
6,1138,299,86,car
7,855,278,82,fish
7,996,259,151,house
5,727,232,142,tree
6,900,210,117,bicycle
4,844,154,158,guitar
4,505,88,227,pencil
3,301,302,313,clock
5,522,201,114,car
3,300,159,57,fish
7,243,108,143,house
5,279,285,206,tree
10,526,90,85,bicycle
7,629,100,240,guitar
2,139,61,147,pencil
2,175,122,121,clock
3,493,146,90,car
6,292,132,54,fish
11,712,189,97,house
2,306,128,162,tree
12,563,87,53,bicycle
9,401,119,75,guitar
2,147,71,119,pencil
4,180,155,143,clock
18,972,332,67,car
14,869,301,170,fish
13,857,324,269,house
8,700,293,241,tree
31,1477,167,117,bicycle
10,873,245,250,guitar
6,540,165,187,pencil
11,756,252,202,clock
4,695,261,91,car
5,289,232,93,fish
14,828,115,109,house
3,245,193,111,tree
12,439,126,63,bicycle
7,767,116,285,guitar
3,246,59,189,pencil
6,199,159,138,clock
15,720,144,53,car
8,383,317,285,fish
13,356,327,86,house
15,352,272,253,tree
38,602,165,104,bicycle
30,831,202,254,guitar
30,513,186,224,pencil
16,386,254,253,clock
11,1612,283,143,car
17,1047,203,83,fish
9,771,183,125,house
11,512,259,208,tree
35,1338,138,113,bicycle
21,1341,208,189,guitar
8,223,78,132,pencil
24,1419,345,357,clock
22,1394,309,57,car
4,198,134,65,fish
3,193,81,158,house
3,131,198,139,tree
9,398,125,104,bicycle
15,358,230,109,guitar
4,142,214,97,pencil
14,633,212,188,clock
14,1721,363,100,car
13,1463,223,73,fish
16,792,241,134,house
16,807,308,232,tree
24,1856,243,107,bicycle
27,2075,373,153,guitar
7,593,41,165,pencil
5,432,238,284,clock
4,413,340,152,car
6,266,269,125,fish
4,244,310,270,house
5,428,283,323,tree
32,567,147,119,bicycle
7,434,320,163,guitar
6,313,204,186,pencil
14,545,310,252,clock
7,463,283,111,car
3,113,298,133,fish
16,378,303,164,house
3,131,230,165,tree
16,227,185,87,bicycle
8,585,111,174,guitar
5,307,162,159,pencil
18,210,214,188,clock
3,527,311,210,car
14,244,188,73,fish
9,416,310,177,house
1,168,184,270,tree
9,393,228,67,bicycle
6,264,253,233,guitar
5,218,84,255,pencil
4,118,173,157,clock
12,1018,345,113,car
4,479,258,62,fish
4,486,267,279,house
11,403,153,140,tree
5,539,150,86,bicycle
10,1109,341,97,guitar
4,330,32,212,pencil
4,484,241,253,clock
12,710,331,84,car
10,743,308,151,fish
18,877,358,123,house
6,912,153,274,tree
22,894,151,109,bicycle
24,751,165,110,guitar
10,326,71,204,pencil
31,1372,304,300,clock
8,707,237,86,car
3,394,255,116,fish
21,905,190,160,house
3,358,168,138,tree
8,494,109,54,bicycle
13,1002,206,216,guitar
2,335,156,214,pencil
8,655,164,136,clock
10,944,181,86,car
24,1191,165,80,fish
9,1176,172,160,house
6,2261,276,261,tree
27,1822,76,67,bicycle
23,2273,240,259,guitar
9,1279,187,186,pencil
21,1241,336,136,clock
1,232,216,160,car
3,400,324,79,fish
6,548,338,146,house
1,380,187,208,tree
7,413,98,38,bicycle
11,601,284,252,guitar
4,215,16,203,pencil
12,384,182,154,clock
19,753,284,143,car
10,461,241,145,fish
6,300,180,226,house
1,232,305,290,tree
6,235,151,145,bicycle
7,422,161,182,guitar
4,217,237,154,pencil
19,484,251,217,clock
11,825,310,105,car
4,328,116,70,fish
9,598,255,79,house
4,295,263,172,tree
12,546,95,91,bicycle
18,1311,285,310,guitar
5,235,109,116,pencil
12,443,182,199,clock
5,766,313,98,car
3,321,238,103,fish
25,575,207,85,house
3,308,238,208,tree
12,252,85,72,bicycle
10,637,134,156,guitar
8,266,92,83,pencil
10,431,150,186,clock
4,804,260,103,car
7,709,178,99,fish
9,758,153,92,house
97,2081,112,194,tree
9,728,88,65,bicycle
7,1190,236,118,guitar
9,618,112,94,pencil
14,985,191,195,clock
5,818,339,135,car
2,278,263,121,fish
1,199,164,248,house
2,119,180,118,tree
9,243,69,81,bicycle
17,1069,162,296,guitar
7,477,157,97,pencil
23,640,238,216,clock
3,549,322,103,car
5,520,292,116,fish
11,610,246,175,house
3,421,282,267,tree
16,805,235,126,bicycle
16,1070,167,345,guitar
4,263,152,43,pencil
34,579,131,87,clock
21,1236,149,37,car
6,303,165,110,fish
14,790,191,108,house
6,572,275,156,tree
29,1503,97,76,bicycle
12,877,148,181,guitar
10,542,202,158,pencil
19,612,218,197,clock
9,613,90,65,car
3,297,136,37,fish
3,349,158,94,house
28,425,63,62,tree
18,708,150,79,bicycle
5,835,95,246,guitar
2,237,15,172,pencil
20,445,154,143,clock
25,1899,166,47,car
23,1735,237,77,fish
32,2860,134,139,house
10,594,241,224,tree
46,4796,125,114,bicycle
20,1946,169,163,guitar
10,1268,81,118,pencil
13,1407,270,168,clock
11,1515,347,204,car
13,1057,264,153,fish
12,555,274,134,house
5,486,302,200,tree
19,1316,141,129,bicycle
8,1225,268,293,guitar
1,485,291,311,pencil
8,601,230,225,clock
20,769,89,36,car
50,1118,282,70,fish
8,381,186,132,house
3,319,247,270,tree
31,1213,86,60,bicycle
30,1752,285,131,guitar
6,372,108,99,pencil
11,277,208,190,clock
8,1091,219,182,car
4,394,327,139,fish
13,448,235,170,house
2,307,241,318,tree
6,305,286,129,bicycle
6,552,252,188,guitar
3,212,196,172,pencil
10,206,198,170,clock
4,974,340,316,car
4,850,325,353,fish
7,866,347,292,house
9,435,326,267,tree
12,386,184,182,bicycle
10,599,345,366,guitar
9,985,341,376,pencil
20,660,347,366,clock
38,519,135,49,car
22,205,79,69,fish
25,457,231,109,house
16,296,93,65,tree
9,242,120,82,bicycle
22,518,177,90,guitar
8,125,226,142,pencil
38,392,196,169,clock
57,3954,315,101,car
